id	主题1	主题2	主题3
10613	18	4	3
10614	19	20	12
10615	18	21	4
10616	23	19	25
10617	23	15	2
10618	11	25	6
10619	18	17	16
1062	20	8	25
10620	19	25	18
10621	17	13	18
10622	11	18	19
10623	19	15	8
10624	1	18	19
10625	19	9	18
10626	24	12	18
10627	11	6	18
10628	11	3	24
10629	2	16	11
1063	20	8	3
10630	16	18	19
10631	15	4	18
10632	3	6	13
10633	15	19	18
10634	18	17	12
10635	23	17	18
10636	3	4	19
10637	6	18	19
10638	25	19	18
10639	26	23	18
1064	18	26	23
10640	18	15	19
10641	2	15	18
10643	3	19	7
10644	15	19	10
10645	6	10	18
10646	24	18	19
10647	4	1	18
10648	10	8	18
10649	20	18	3
1065	19	18	1
10650	2	16	19
10651	17	24	18
10652	21	18	7
10654	10	18	19
10655	17	9	18
10657	3	11	19
10658	23	16	26
10659	1	12	18
1066	11	6	1
10660	18	5	4
10661	13	18	11
10662	5	18	19
10663	5	18	19
10664	5	26	18
10665	10	20	13
10666	16	2	18
10667	19	13	15
10668	18	20	8
10669	17	9	18
1067	1	18	19
10670	13	3	18
10672	1	6	8
10673	7	5	18
10674	18	3	19
10675	5	18	19
10676	16	2	23
10677	20	11	18
10678	18	24	19
10679	13	19	18
1068	23	19	2
10680	19	13	4
10681	13	19	18
10682	17	16	23
10683	18	10	13
10684	13	18	19
10685	6	18	19
10686	19	18	1
10687	1	19	13
10688	5	19	3
10689	18	21	19
1069	13	26	18
10690	17	4	15
10691	8	3	1
10692	20	24	18
10693	6	3	18
10694	17	18	19
10695	8	17	19
10696	18	6	5
10698	12	19	18
10699	18	12	3
107	14	18	8
1070	24	20	18
10700	18	21	19
10701	2	15	16
10702	21	20	17
10703	21	8	15
10704	18	6	19
10705	11	17	3
10706	25	8	3
10707	1	17	4
10708	21	3	18
10709	21	1	3
1071	23	8	3
10710	21	17	18
10711	21	3	18
10712	16	18	19
10713	4	7	9
10715	6	3	10
10716	5	9	24
10717	6	8	18
10718	18	17	19
10719	17	23	6
1072	17	19	18
10720	3	18	20
10721	7	25	19
10722	1	26	18
10723	9	22	18
10724	24	18	19
10725	21	18	19
10726	9	18	19
10727	14	8	18
10729	1	24	13
1073	9	1	25
10730	26	12	18
10731	1	21	13
10732	20	3	11
10733	20	3	18
10734	17	4	5
10735	16	4	18
10736	4	15	9
10737	26	23	18
10738	15	4	18
10739	6	8	25
1074	18	19	1
10740	16	17	9
10741	1	18	19
10742	17	24	18
10743	3	18	24
10744	23	19	18
10745	19	21	18
10746	1	23	8
10747	17	19	18
10748	18	24	7
10749	19	17	18
1075	24	3	26
10750	25	16	4
10751	18	24	19
10752	20	3	26
10754	20	1	24
10755	17	22	18
10756	21	19	18
10757	3	18	19
10759	14	25	18
1076	9	8	18
10760	18	13	19
10761	18	23	19
10762	5	18	19
10763	16	17	18
10765	20	18	19
10766	16	6	18
10767	23	17	18
10768	22	25	18
10769	1	18	19
1077	9	24	10
10770	6	18	19
10771	1	18	19
10772	16	19	12
10774	3	6	2
10775	26	8	15
10776	16	18	19
10777	16	18	19
10778	13	18	19
1078	9	20	24
10780	3	17	18
10781	15	19	18
10782	24	3	6
10783	22	17	18
10784	17	6	18
10785	18	12	25
10786	20	23	13
10787	3	18	15
10788	19	17	18
